DATE,avg_station_max,overall_max
2021-01-01,20.51,22.2
2021-01-02,17.82,18.9
2021-01-03,16.26,18.15
2021-01-04,16.67,20.0
2021-01-05,16.99,23.9
2021-01-06,20.02,25.0
2021-01-07,20.65,24.4
2021-01-08,18.62,26.1
2021-01-09,22.33,23.9
2021-01-10,21.85,24.0
2021-01-11,22.69,24.8
2021-01-12,21.44,22.8
2021-01-13,23.38,25.6
2021-01-14,25.6,30.0
2021-01-15,31.02,33.5
2021-01-16,28.84,31.1
2021-01-17,29.04,31.7
2021-01-18,25.14,27.8
2021-01-19,21.86,25.0
2021-01-20,24.06,25.6
2021-01-21,22.39,23.05
2021-01-22,17.94,20.6
2021-01-23,13.5,14.4
2021-01-24,14.31,15.6
2021-01-25,12.88,13.6
2021-01-26,12.95,14.4
2021-01-27,14.67,16.1
2021-01-28,16.87,18.3
2021-01-29,14.72,15.6
2021-01-30,15.76,18.3
2021-01-31,20.77,23.3
2021-02-01,21.09,22.8
2021-02-02,20.07,23.3
2021-02-03,17.64,22.2
2021-02-04,18.04,21.1
2021-02-05,19.56,23.9
2021-02-06,21.3,27.2
2021-02-07,19.43,23.9
2021-02-08,16.6,20.6
2021-02-09,15.23,16.7
2021-02-10,16.05,17.8
2021-02-11,18.32,21.7
2021-02-12,19.02,20.6
2021-02-13,17.74,20.0
2021-02-14,20.46,22.0
2021-02-15,17.93,19.4
2021-02-16,18.9,21.1
2021-02-17,19.34,21.7
2021-02-18,20.41,22.0
2021-02-19,19.95,23.3
2021-02-20,20.48,23.0
2021-02-21,22.57,25.0
2021-02-22,26.39,28.9
2021-02-23,24.11,27.2
2021-02-24,21.49,25.6
2021-02-25,22.3,24.0
2021-02-26,21.66,25.0
2021-02-27,21.32,23.9
2021-02-28,22.02,23.9
2021-03-01,23.37,25.0
2021-03-02,22.28,24.4
2021-03-03,18.26,20.6
2021-03-04,17.84,20.0
2021-03-05,23.58,26.7
2021-03-06,19.79,23.9
2021-03-07,16.76,18.9
2021-03-08,17.69,19.4
2021-03-09,16.48,18.3
2021-03-10,14.87,16.1
2021-03-11,13.32,14.4
2021-03-12,14.58,16.7
2021-03-13,16.49,18.9
2021-03-14,16.61,17.8
2021-03-15,14.11,15.0
2021-03-16,14.43,16.1
2021-03-17,17.39,20.0
2021-03-18,18.11,22.8
2021-03-19,19.97,23.3
2021-03-20,18.58,21.1
2021-03-21,19.09,22.2
2021-03-22,19.58,21.7
2021-03-23,19.45,21.7
2021-03-24,22.15,23.3
2021-03-25,18.74,20.6
2021-03-26,17.21,21.1
2021-03-27,23.47,27.8
2021-03-28,28.5,32.8
2021-03-29,24.51,29.4
2021-03-30,22.08,28.3
2021-03-31,29.36,32.8
2021-04-01,30.14,33.3
2021-04-02,25.9,30.0
2021-04-03,20.49,27.2
2021-04-04,22.2,29.4
2021-04-05,20.22,26.1
2021-04-06,19.86,24.4
2021-04-07,22.73,28.9
2021-04-08,21.96,28.9
2021-04-09,21.96,28.3
2021-04-10,22.25,27.8
2021-04-11,21.49,26.1
2021-04-12,19.27,23.3
2021-04-13,17.12,18.9
2021-04-14,17.02,18.9
2021-04-15,18.15,21.1
2021-04-16,19.49,24.4
2021-04-17,20.65,25.6
2021-04-18,30.79,32.2
2021-04-19,27.35,32.8
2021-04-20,23.3,30.6
2021-04-21,18.45,20.6
2021-04-22,16.94,20.0
2021-04-23,17.39,19.43
2021-04-24,18.05,20.6
2021-04-25,18.04,20.6
2021-04-26,17.6,20.0
2021-04-27,18.14,20.6
2021-04-28,26.32,31.7
2021-04-29,29.22,36.1
2021-04-30,28.83,36.1
2021-05-01,24.12,33.3
2021-05-02,19.68,23.3
2021-05-03,22.36,29.4
2021-05-04,24.2,32.8
2021-05-05,24.13,32.2
2021-05-06,22.12,28.9
2021-05-07,20.2,23.9
2021-05-08,20.96,24.4
2021-05-09,20.58,24.4
2021-05-10,19.53,22.2
2021-05-11,21.61,27.2
2021-05-12,21.72,27.2
2021-05-13,19.8,24.4
2021-05-14,20.94,25.0
2021-05-15,20.32,22.8
2021-05-16,18.01,19.6
2021-05-17,19.04,22.2
2021-05-18,21.32,26.1
2021-05-19,21.52,24.4
2021-05-20,20.48,22.8
2021-05-21,21.69,23.9
2021-05-22,19.34,21.7
2021-05-23,21.06,25.6
2021-05-24,27.5,33.9
2021-05-25,26.84,33.9
2021-05-26,23.87,29.4
2021-05-27,21.39,26.1
2021-05-28,21.51,26.7
2021-05-29,20.63,23.9
2021-05-30,20.51,24.4
2021-05-31,21.7,27.8
2021-06-01,22.59,30.6
2021-06-02,22.12,30.6
2021-06-03,22.66,29.4
2021-06-04,22.38,28.9
2021-06-05,22.83,28.9
2021-06-06,21.92,26.7
2021-06-07,19.61,21.7
2021-06-08,21.82,25.0
2021-06-09,22.72,26.1
2021-06-10,23.23,27.2
2021-06-11,25.12,30.6
2021-06-12,26.41,32.8
2021-06-13,26.44,33.9
2021-06-14,28.59,37.2
2021-06-15,30.35,41.7
2021-06-16,29.82,38.3
2021-06-17,26.05,36.1
2021-06-18,24.48,32.8
2021-06-19,24.19,32.8
2021-06-20,23.32,29.4
2021-06-21,24.58,31.1
2021-06-22,24.5,32.2
2021-06-23,25.15,32.2
2021-06-24,23.35,28.9
2021-06-25,24.44,29.4
2021-06-26,25.31,33.9
2021-06-27,25.38,35.0
2021-06-28,25.12,34.4
2021-06-29,24.13,30.6
2021-06-30,24.38,32.2
2021-07-01,27.48,35.6
2021-07-02,26.1,34.4
2021-07-03,26.5,36.7
2021-07-04,25.57,35.0
2021-07-05,24.88,32.8
2021-07-06,25.62,33.9
2021-07-07,25.08,33.3
2021-07-08,26.26,34.4
2021-07-09,28.19,36.1
2021-07-10,27.9,33.9
2021-07-11,26.99,33.9
2021-07-12,25.78,32.2
2021-07-13,26.76,33.9
2021-07-14,26.92,32.2
2021-07-15,27.24,33.3
2021-07-16,26.79,33.3
2021-07-17,27.54,34.4
2021-07-18,29.25,36.1
2021-07-19,29.31,36.1
2021-07-20,28.65,36.7
2021-07-21,29.28,36.7
2021-07-22,27.98,35.0
2021-07-23,26.78,33.3
2021-07-24,25.65,31.7
2021-07-25,25.45,30.6
2021-07-26,24.22,27.2
2021-07-27,26.32,35.0
2021-07-28,27.64,36.1
2021-07-29,27.8,37.2
2021-07-30,27.33,37.8
2021-07-31,26.25,36.1
2021-08-01,28.73,37.2
2021-08-02,30.83,40.0
2021-08-03,29.25,38.3
2021-08-04,27.94,38.9
2021-08-05,27.57,36.1
2021-08-06,26.11,31.1
2021-08-07,25.39,32.2
2021-08-08,26.44,34.4
2021-08-09,27.11,34.4
2021-08-10,27.75,36.1
2021-08-11,29.55,35.6
2021-08-12,30.41,35.6
2021-08-13,28.91,33.9
2021-08-14,28.28,34.4
2021-08-15,28.79,35.6
2021-08-16,28.55,35.6
2021-08-17,26.96,31.7
2021-08-18,24.83,26.7
2021-08-19,25.88,28.3
2021-08-20,25.0,27.8
2021-08-21,23.74,26.1
2021-08-22,24.17,27.2
2021-08-23,24.59,27.8
2021-08-24,25.54,30.6
2021-08-25,27.82,35.0
2021-08-26,30.9,38.9
2021-08-27,29.3,37.8
2021-08-28,27.62,37.2
2021-08-29,26.78,37.2
2021-08-30,25.38,32.2
2021-08-31,23.66,27.2
2021-09-01,23.59,25.6
2021-09-02,24.41,27.8
2021-09-03,25.72,33.9
2021-09-04,30.58,37.2
2021-09-05,32.62,42.2
2021-09-06,29.92,37.2
2021-09-07,27.62,34.4
2021-09-08,27.72,36.7
2021-09-09,30.93,36.1
2021-09-10,28.36,36.1
2021-09-11,30.56,37.25
2021-09-12,28.56,36.7
2021-09-13,26.34,36.1
2021-09-14,25.34,33.9
2021-09-15,24.29,31.1
2021-09-16,22.71,26.7
2021-09-17,23.37,27.2
2021-09-18,23.15,26.7
2021-09-19,23.26,27.8
2021-09-20,26.92,32.8
2021-09-21,32.51,38.9
2021-09-22,30.57,38.3
2021-09-23,26.93,32.8
2021-09-24,23.99,30.6
2021-09-25,23.86,30.0
2021-09-26,21.64,27.8
2021-09-27,19.9,21.7
2021-09-28,21.67,23.7
2021-09-29,22.8,25.0
2021-09-30,30.08,35.6
2021-10-01,30.34,33.9
2021-10-02,31.16,36.1
2021-10-03,32.25,36.1
2021-10-04,29.49,34.4
2021-10-05,25.19,27.2
2021-10-06,23.4,25.6
2021-10-07,20.75,22.2
2021-10-08,20.46,21.9
2021-10-09,22.18,26.1
2021-10-10,25.05,28.9
2021-10-11,22.76,26.1
2021-10-12,21.56,23.3
2021-10-13,22.59,25.6
2021-10-14,23.74,26.7
2021-10-15,30.85,33.7
2021-10-16,30.91,33.9
2021-10-17,25.96,28.9
2021-10-18,18.62,20.55
2021-10-19,20.0,22.8
2021-10-20,21.82,26.1
2021-10-21,23.71,29.4
2021-10-22,20.12,26.1
2021-10-23,19.42,21.7
2021-10-24,20.85,23.3
2021-10-25,18.26,20.0
2021-10-26,19.99,22.2
2021-10-27,26.68,30.0
2021-10-28,30.78,34.4
2021-10-29,27.51,31.7
2021-10-30,21.81,27.8
2021-10-31,18.98,20.6
2021-11-01,18.7,20.6
2021-11-02,19.54,22.8
2021-11-03,21.7,30.0
2021-11-04,20.91,29.4
2021-11-05,21.18,30.6
2021-11-06,19.02,25.6
2021-11-07,18.58,22.8
2021-11-08,19.75,21.1
2021-11-09,19.28,21.1
2021-11-10,22.39,30.0
2021-11-11,30.1,32.9
2021-11-12,32.34,36.2
2021-11-13,31.43,33.3
2021-11-14,30.26,33.9
2021-11-15,26.23,31.1
2021-11-16,19.48,25.0
2021-11-17,19.62,22.2
2021-11-18,18.83,23.9
2021-11-19,18.58,20.6
2021-11-20,18.07,21.1
2021-11-21,29.7,30.6
2021-11-22,28.61,30.2
2021-11-23,24.55,27.25
2021-11-24,21.51,25.6
2021-11-25,25.01,26.7
2021-11-26,25.19,27.7
2021-11-27,24.68,27.2
2021-11-28,24.0,30.0
2021-11-29,23.36,30.0
2021-11-30,21.21,29.4
2021-12-01,21.37,31.1
2021-12-02,17.76,25.6
2021-12-03,17.22,20.6
2021-12-04,17.55,20.6
2021-12-05,17.81,22.2
2021-12-06,18.61,23.9
2021-12-07,17.73,18.95
2021-12-08,18.82,20.0
2021-12-09,16.2,17.5
2021-12-10,16.81,17.4
2021-12-11,19.74,20.6
2021-12-12,17.77,18.9
2021-12-13,15.69,16.95
2021-12-14,14.87,15.75
2021-12-15,13.77,15.1
2021-12-16,13.86,15.0
2021-12-17,18.71,20.6
2021-12-18,20.07,21.7
2021-12-19,17.99,20.0
2021-12-20,18.14,20.0
2021-12-21,19.86,21.7
2021-12-22,18.07,20.0
2021-12-23,16.21,17.8
2021-12-24,15.65,16.7
2021-12-25,14.17,15.0
2021-12-26,14.5,15.6
2021-12-27,12.89,13.5
2021-12-28,12.97,14.3
2021-12-29,12.18,13.3
2021-12-30,13.11,13.9
2021-12-31,15.19,16.7
